"WOCHENTAG","DATUM","VON","BIS","DAUER_IN_MINUTEN","LV_NUMMER","TITEL","LV_ART","LV_GRUPPE","ORT","EREIGNIS_TYP","TERMIN_TYP","VORTRAGENDER_KONTAKTPERSON","ANMERKUNG","INTERNE_BEMERKUNG"
"MO","14.10.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","21.10.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","28.10.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","04.11.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","11.11.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","18.11.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","25.11.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","02.12.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","09.12.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","16.12.2019","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","06.01.2020","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","13.01.2020","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","20.01.2020","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
"MO","27.01.2020","08:30","10:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","H08 (1385|219)","Abhaltung","fix","","",""
